Month.Numeric,Month.Factor,Year,Wrangler.Sales,Elantra.Sales,Unemployment.Rate,Wrangler.Queries,Elantra.Queries,CPI.All,CPI.Energy
5,May,2017,19931,16407,4.3,85,24,243.911,198.157
6,June,2017,18839,13297,4.3,89,24,244.032,196.462
7,July,2017,18698,13287,4.3,96,26,244.236,195.041
8,August,2017,16808,15127,4.4,85,25,245.262,201.552
9,September,2017,15714,14401,4.2,77,22,246.392,211.097
10,October,2017,13391,14733,4.1,76,22,246.583,208.236
11,November,2017,13289,19060,4.1,84,21,247.411,214.879
12,December,2017,13700,21350,4.1,81,22,247.910,214.503
1,January,2018,11739,14017,4.1,79,22,249.245,220.903
2,February,2018,15936,15724,4.1,82,23,249.619,221.104
3,March,2018,27829,17323,4,82,24,249.462,215.022
4,April,2018,29776,14044,3.9,89,24,250.013,218.050
5,May,2018,25102,20762,3.8,94,25,250.535,220.006
6,June,2018,23110,17858,4,95,25,250.857,219.372
7,July,2018,21308,13753,3.9,100,27,251.286,218.271
8,August,2018,20168,15474,3.8,89,27,251.846,222.368
9,September,2018,15983,19923,3.7,80,24,251.994,221.334
10,October,2018,13318,18312,3.8,75,23,252.827,226.644
11,November,2018,15963,18148,3.7,76,23,252.876,221.712
12,December,2018,19800,15076,3.9,75,23,252.733,214.049
